TITLE,DEPARTMENT,PERCENTAGE,FOAPAL_SALARY,TOTAL_SALARY,OTHER_SALARY,TENURE,DEGREE,DEGREE_DESC,YEARS_HERE,YEARS_TOTAL,POSITION_FTE,JOB FTE,BUDGET_FTE,JOB_PCT,MONTHS_EMPL,POSN_ECLS
Instructor,Economics & Finance,100,"58,911.00","58,911.00",0.00,N,MS,Master of Science,10,10,1,1,1,100,9,F9
Professor,Economics & Finance,100,"100,210.00","106,450.00","6,240.00",T,PHD,Doctor of Philosophy,12,13,1,1,1,100,9,F9
Professor,Economics & Finance,100,"210,000.00","210,000.00",0.00,,,,0,0,1,1,1,0,9,F9
Professor,Economics & Finance,100,"82,005.00","133,836.00","51,831.00",T,PHD,Doctor of Philosophy,23,23,2,1,1,100,9,F9
Professor,Economics & Finance,100,"115,621.00","121,861.00","6,240.00",T,PHD,Doctor of Philosophy,34,33,1,1,1,100,9,F9
Professor,Economics & Finance,100,"113,270.00","123,270.00","10,000.00",T,PHD,Doctor of Philosophy,30,31,1,1,1,100,9,F9
Professor,Economics & Finance,100,"114,817.00","117,937.00","3,120.00",T,DBA,Doctor of Business Admin_,31,30,1,1,1,100,9,F9
Professor,Economics & Finance,100,"207,000.00","207,000.00",0.00,,PHD,Doctor of Philosophy,0,0,1,1,1,100,9,F9
Assistant Professor,Elect & Computer Engineering,100,"89,729.00","89,729.00",0.00,O,MS,Master of Science,16,20,1,1,1,100,9,F9
Assistant Professor,Elect & Computer Engineering,100,"88,000.00","88,000.00",0.00,O,PHD,Doctor of Philosophy,0,0,1,1,1,0,9,F9
Assistant Professor,Elect & Computer Engineering,100,"88,000.00","88,000.00",0.00,O,PHD,Doctor of Philosophy,0,0,1,1,1,100,9,FA
Assistant Professor,Elect & Computer Engineering,100,"92,548.00","92,548.00",0.00,N,PHD,Doctor of Philosophy,10,13,1,1,1,100,12,F2
Associate Professor,Elect & Computer Engineering,100,"98,140.00","98,140.00",0.00,T,PHD,Doctor of Philosophy,29,29,1,1,1,100,9,F9
Instructor,Elect & Computer Engineering,100,"75,000.00","75,000.00",0.00,,MS,Master of Science,0,0,1,1,1,100,12,F2
Instructor,Elect & Computer Engineering,100,"90,000.00","90,000.00",0.00,,,,0,0,1,1,1,0,12,F2
Professor,Elect & Computer Engineering,100,"212,000.00","222,000.00","10,000.00",T,PHD,Doctor of Philosophy,33,33,1,1,1,100,9,F9
Professor,Elect & Computer Engineering,100,"102,551.00","108,791.00","6,240.00",T,PHD,Doctor of Philosophy,14,15,1,1,1,100,9,F9
Professor,Elect & Computer Engineering,100,"100,441.00","103,561.00","3,120.00",T,PHD,Doctor of Philosophy,30,30,1,1,1,100,9,F9
Professor,Elect & Computer Engineering,100,"102,331.00","108,571.00","6,240.00",T,PHD,Doctor of Philosophy,15,15,1,1,1,100,9,F9
Assisant Professor,English,100,"50,000.00","50,000.00",0.00,,PHD,Doctor of Philosophy,0,0,1,1,1,100,9,F9
Assistant Professor,English,100,"52,233.00","52,233.00",0.00,O,PHD,Doctor of Philosophy,4,5,1,1,1,100,9,F9
Assistant Professor,English,100,"52,782.00","52,782.00",0.00,T,PHD,Doctor of Philosophy,16,17,1,1,1,100,9,F9
Assistant Professor,English,100,"50,983.00","50,983.00",0.00,O,PHD,Doctor of Philosophy,2,2,1,1,1,100,9,F9
Assistant Professor,English,100,"48,000.00","48,000.00",0.00,O,MFA,Master of Fine Arts,0,0,1,1,1,100,9,F9
Assistant Professor,English,100,"51,000.00","51,000.00",0.00,,PHD,Doctor of Philosophy,0,0,1,1,1,100,9,F9
Assistant Professor,English,100,"50,099.00","50,099.00",0.00,O,PHD,Doctor of Philosophy,4,4,1,1,1,100,9,F9
Assistant Professor,English,100,"49,000.00","49,000.00",0.00,O,PHD,Doctor of Philosophy,1,1,1,1,1,100,9,F9
Assistant Professor,English,100,"49,000.00","49,000.00",0.00,,PHD,Doctor of Philosophy,1,1,1,1,1,100,9,F9
Associate Professor,English,100,"59,178.00","59,178.00",0.00,T,PHD,Doctor of Philosophy,12,12,1,1,1,100,9,F9
Associate Professor,English,100,"54,049.00","54,049.00",0.00,T,PHD,Doctor of Philosophy,50,44,1,1,1,100,9,F9
Associate Professor,English,100,"58,464.00","58,464.00",0.00,T,PHD,Doctor of Philosophy,11,11,1,1,1,100,9,F9
Associate Professor,English,100,"56,533.00","59,653.00","3,120.00",O,PHD,Doctor of Philosophy,20,19,1,1,1,100,9,F9
Associate Professor,English,100,"57,131.00","57,131.00",0.00,O,PHD,Doctor of Philosophy,6,7,1,1,1,100,9,F9
Associate Professor,English,100,"58,564.00","58,564.00",0.00,O,PHD,Doctor of Philosophy,4,4,1,1,1,100,9,F9
Associate Professor,English,100,"52,698.00","55,818.00","3,120.00",O,PHD,Doctor of Philosophy,3,3,1,1,1,100,9,F9
Associate Professor,English,100,"60,627.00","60,627.00",0.00,T,PHD,Doctor of Philosophy,11,12,1,1,1,100,9,F9
Associate Professor,English,100,"67,775.00","67,775.00",0.00,T,PHD,Doctor of Philosophy,16,18,1,1,1,100,9,F9
Instructor,English,100,"47,972.00","47,972.00",0.00,O,MFA,Master of Fine Arts,3,3,1,1,1,100,9,F9
Instructor,English,100,"38,942.00","38,942.00",0.00,N,MA,Master of Arts,11,14,1,1,1,100,9,F9
Instructor,English,100,"36,106.00","36,106.00",0.00,N,MA,Master of Arts,10,15,1,1,1,100,9,F9
Instructor,English,100,"36,046.00","36,046.00",0.00,N,MFA,Master of Fine Arts,10,10,1,1,1,100,9,F9
Instructor,English,100,"36,136.00","36,136.00",0.00,N,BA,Bachelor of Arts,2,2,1,1,1,100,9,F9
Instructor,English,100,"39,997.00","39,997.00",0.00,N,MA,Master of Arts,17,26,1,1,1,100,9,F9
Instructor,English,100,"48,247.00","48,247.00",0.00,O,PHD,Doctor of Philosophy,16,15,1,1,1,100,9,F9
Master Instructor,English,100,"44,283.00","44,283.00",0.00,N,MA,Master of Arts,12,14,1,1,1,100,9,F9
Master Instructor,English,100,"47,199.00","47,199.00",0.00,N,MA,Master of Arts,18,19,1,1,1,100,9,F9
Master Instructor,English,100,"54,547.00","54,547.00",0.00,N,MA,Master of Arts,41,40,1,1,1,100,9,F9
Master Instructor,English,100,"47,018.00","47,018.00",0.00,N,MA,Master of Arts,14,14,1,1,1,100,9,F9
Master Instructor,English,100,"50,839.00","50,839.00",0.00,N,MFA,Master of Fine Arts,22,23,1,1,1,100,9,F9
Professor,English,100,"77,558.00","77,558.00",0.00,T,PHD,Doctor of Philosophy,18,19,1,1,1,100,9,F9
Professor,English,100,"85,783.00","88,903.00","3,120.00",T,PHD,Doctor of Philosophy,14,14,1,1,1,100,9,F9
Professor,English,100,"67,660.00","67,660.00",0.00,T,PHD,Doctor of Philosophy,16,17,1,1,1,100,9,F9
Professor,English,100,"79,258.00","79,258.00",0.00,T,PHD,Doctor of Philosophy,16,16,1,1,1,100,9,F9
Professor,English,100,"73,205.00","73,205.00",0.00,T,PHD,Doctor of Philosophy,19,19,1,1,1,100,9,F9
Professor,English,100,"102,080.00","102,080.00",0.00,T,PHD,Doctor of Philosophy,31,30,1,1,1,100,9,F9
Professor,English,100,"82,573.00","85,693.00","3,120.00",T,PHD,Doctor of Philosophy,5,5,1,1,1,100,9,F9
Professor,English,100,"85,541.00","88,661.00","3,120.00",T,MFA,Master of Fine Arts,13,16,1,1,1,100,9,F9
Professor,English,100,"81,842.00","94,962.00","13,120.00",T,PHD,Doctor of Philosophy,19,20,1,1,1,100,9,F9
Professor,English,100,"83,303.00","86,423.00","3,120.00",T,PHD,Doctor of Philosophy,17,17,1,1,1,100,9,F9
Professor,English,100,"70,169.00","70,169.00",0.00,T,PHD,Doctor of Philosophy,18,19,1,1,1,100,9,F9
Senior Instructor,English,100,"37,763.00","37,763.00",0.00,N,PHD,Doctor of Philosophy,5,13,1,1,1,100,9,F9
Senior Instructor,English,100,"39,953.00","39,953.00",0.00,N,MFA,Master of Fine Arts,10,12,1,1,1,100,9,F9
Senior Instructor,English,100,"51,053.00","51,053.00",0.00,N,BA,Bachelor of Arts,21,21,1,1,1,100,12,F9
Senior Instructor,English,100,"37,912.00","37,912.00",0.00,N,MA,Master of Arts,5,10,1,1,1,100,9,F9
Assistant Professor,History & Geography,100,"51,000.00","54,120.00","3,120.00",O,PHD,Doctor of Philosophy,1,2,1,1,1,100,9,F9
Assistant Professor,History & Geography,100,"50,000.00","50,000.00",0.00,O,PHD,Doctor of Philosophy,0,0,1,1,1,100,9,F9
Assistant Professor,History & Geography,100,"57,524.00","57,524.00",0.00,T,PHD,Doctor of Philosophy,20,20,1,1,1,100,9,F9
Assistant Professor,History & Geography,100,"52,500.00","55,620.00","3,120.00",,PHD,Doctor of Philosophy,0,0,1,1,1,100,9,F9
Assistant Professor,History & Geography,100,"52,500.00","55,620.00","3,120.00",,PHD,Doctor of Philosophy,0,0,1,1,1,100,9,F9
Assistant Professor,History & Geography,100,"59,720.00","59,720.00",0.00,T,PHD,Doctor of Philosophy,23,23,1,1,1,100,9,F9
Assistant Professor,History & Geography,100,"52,269.00","55,389.00","3,120.00",O,PHD,Doctor of Philosophy,5,5,1,1,1,100,9,F9
Associate Professor,History & Geography,100,"69,058.00","69,058.00",0.00,T,PHD,Doctor of Philosophy,22,22,1,1,1,100,9,F9
Associate Professor,History & Geography,100,"64,124.00","67,244.00","3,120.00",T,PHD,Doctor of Philosophy,14,14,1,1,1,100,9,F9
Associate Professor,History & Geography,100,"61,853.00","61,853.00",0.00,T,PHD,Doctor of Philosophy,11,12,1,1,1,100,9,F9
Associate Professor,History & Geography,100,"64,537.00","77,657.00","13,120.00",T,PHD,Doctor of Philosophy,10,11,1,1,1,100,9,F9
Instructor,History & Geography,100,"39,063.00","39,063.00",0.00,,PHD,Doctor of Philosophy,5,6,1,1,1,100,9,F9
Professor,History & Geography,100,"88,791.00","88,791.00",0.00,T,PHD,Doctor of Philosophy,21,22,1,1,1,100,9,F9
Professor,History & Geography,100,"90,000.00","93,120.00","3,120.00",T,PHD,Doctor of Philosophy,15,16,1,1,1,100,9,F9
Professor,History & Geography,100,"97,067.00","97,067.00",0.00,T,PHD,Doctor of Philosophy,27,27,1,1,1,100,9,F9
Senior Instructor,History & Geography,100,"43,712.00","43,712.00",0.00,N,PHD,Doctor of Philosophy,6,6,1,1,1,100,9,F9
Senior Instructor,History & Geography,100,"46,307.00","46,307.00",0.00,N,MA,Master of Arts,10,11,1,1,1,100,9,F9
Assistant Professor,Industrial Technology,100,"81,008.00","81,008.00",0.00,O,PHD,Doctor of Philosophy,5,6,2,1,1,100,9,F9
Assistant Professor,Industrial Technology,100,"79,475.00","79,475.00",0.00,O,PHD,Doctor of Philosophy,2,2,1,1,1,100,9,F9
Associate Professor,Industrial Technology,100,"82,241.00","82,241.00",0.00,T,MBA,Master of Business Admin.,28,28,1,1,1,100,9,F9
Instructor,Industrial Technology,100,"75,000.00","75,000.00",0.00,,,,0,1,1,1,1,0,12,F2
Instructor,Industrial Technology,100,"85,000.00","85,000.00",0.00,,,,0,0,1,1,1,100,9,F9
Instructor,Industrial Technology,100,"75,000.00","75,000.00",0.00,N,MS,Master of Science,0,2,1,1,1,100,12,F2
Instructor,Industrial Technology,100,"59,854.00","59,854.00",0.00,N,MBA,Master of Business Admin.,10,10,1,1,1,100,9,F9
Instructor,Industrial Technology,100,"86,129.00","86,129.00",0.00,N,MS,Master of Science,29,30,1,1,1,100,12,F2
Professor,Industrial Technology,100,"97,161.00","97,161.00",0.00,T,DSC,Doctor of Science_,23,23,1,1,1,100,9,F9
Professor,Industrial Technology,100,"110,155.00","123,275.00","13,120.00",T,PHD,Doctor of Philosophy,11,12,1,1,1,100,9,F9
Professor,Industrial Technology,100,"96,453.00","102,693.00","6,240.00",T,PHD,Doctor of Philosophy,23,22,1,1,1,100,9,F9
Assistant Professor,Informatics,100,"83,177.00","83,177.00",0.00,O,PHD,Doctor of Philosophy,6,7,1,1,1,100,9,F9
Associate Professor,Informatics,100,"106,968.00","106,968.00",0.00,T,PHD,Doctor of Philosophy,12,13,1,1,1,100,9,F9
Associate Professor,Informatics,100,"112,927.00","112,927.00",0.00,T,PHD,Doctor of Philosophy,22,27,1,1,1,100,9,F9
Senior Instructor,Informatics,100,"70,000.00","70,000.00",0.00,N,PHD,Doctor of Philosophy,1,1,1,1,1,100,9,F9
Senior Instructor,Informatics,100,"58,686.00","58,686.00",0.00,N,MS,Master of Science,9,13,1,1,1,100,9,F9
Assistant Professor,Kinesiology,100,"65,000.00","65,000.00",0.00,O,PHD,Doctor of Philosophy,1,1,1,1,1,100,9,F9
Assistant Professor,Kinesiology,100,"59,943.00","59,943.00",0.00,O,PHD,Doctor of Philosophy,2,5,1,1,1,100,9,F9
Assistant Professor,Kinesiology,100,"63,874.00","66,994.00","3,120.00",N,PHD,Doctor of Philosophy,2,2,1,1,1,100,12,FA
Assistant Professor,Kinesiology,100,"53,730.00","53,730.00",0.00,O,PHD,Doctor of Philosophy,3,3,1,1,1,100,9,F9
Assistant Professor,Kinesiology,100,"64,375.00","67,495.00","3,120.00",O,PHD,Doctor of Philosophy,3,3,1,1,1,100,9,F9
Assistant Professor,Kinesiology,100,"65,000.00","65,000.00",0.00,,PHD,Doctor of Philosophy,0,0,1,1,1,100,9,F9
Associate Professor,Kinesiology,100,"65,353.00","65,353.00",0.00,T,PHD,Doctor of Philosophy,12,13,1,1,1,100,9,F9
Associate Professor,Kinesiology,100,"65,935.00","69,055.00","3,120.00",O,PHD,Doctor of Philosophy,5,6,1,1,1,100,9,F9
Associate Professor,Kinesiology,100,"71,436.00","71,436.00",0.00,T,PHD,Doctor of Philosophy,18,19,1,1,1,100,9,F9
Instructor,Kinesiology,100,"50,122.00","50,122.00",0.00,N,MS,Master of Science,4,6,1,1,1,100,9,F9
Instructor,Kinesiology,100,"44,000.00","44,000.00",0.00,N,MS,Master of Science,3,3,1,1,1,100,9,F9
Master Instructor,Kinesiology,100,"53,546.00","53,546.00",0.00,N,MED,Master of Education,31,31,1,1,1,100,9,F9
Professor,Kinesiology,100,"96,385.00","96,385.00",0.00,T,PHD,Doctor of Philosophy,27,27,1,1,1,100,9,F9
Professor,Kinesiology,100,"83,510.00","83,510.00",0.00,T,PHD,Doctor of Philosophy,18,20,1,1,1,100,9,F9
Professor,Kinesiology,100,"81,574.00","84,694.00","3,120.00",T,PHD,Doctor of Philosophy,27,30,1,1,1,100,9,F9
Senior Instructor,Kinesiology,100,"50,467.00","50,467.00",0.00,N,MPH,Master of Public Health,7,8,1,1,1,100,9,F9
Senior Instructor,Kinesiology,100,"54,006.00","54,006.00",0.00,N,MED,Master of Education,9,13,1,1,1,100,9,F9
Assistant Professor,Library,100,"55,000.00","55,000.00",0.00,N,MLIS,M of Library & Information Sci,3,7,1,1,1,100,12,FA
Assistant Professor,Library,100,"56,962.00","56,962.00",0.00,O,MLIS,M of Library & Information Sci,13,15,1,1,1,100,12,FA
Assistant Professor,Library,100,"71,162.00","71,162.00",0.00,O,MLS,Master of Library Science,2,2,1,1,1,100,12,FA
Assistant Professor,Library,100,"55,000.00","55,000.00",0.00,N,MS,Master of Science,2,2,1,1,1,100,12,FA
Assistant Professor,Library,100,"55,020.00","58,140.00","3,120.00",O,MLS,Master of Library Science,3,3,1,1,1,100,12,FA
Assistant Professor,Library,100,"55,000.00","58,120.00","3,120.00",,MLIS,M of Library & Information Sci,2,2,1,1,1,100,12,FA
Associate Professor,Library,100,"70,000.00","70,000.00",0.00,T,MLIS,M of Library & Information Sci,31,31,1,1,1,100,12,FA
Associate Professor,Library,100,"75,527.00","75,527.00",0.00,T,MLS,Master of Library Science,32,32,1,1,1,100,12,FA
Instructor,Library,100,"46,058.00","46,058.00",0.00,N,M,"Master's, Unspecified_",4,4,1,1,1,100,12,FA
Instructor,Library,100,"47,000.00","47,000.00",0.00,N,MLS,Master of Library Science,1,8,1,1,1,100,12,FA
Instructor,Library,100,"45,000.00","45,000.00",0.00,N,BA,Bachelor of Arts,3,3,1,1,1,100,12,F9
Instructor,Library,100,"45,000.00","45,000.00",0.00,,MLS,Master of Library Science,0,0,1,1,1,100,12,FA
Instructor,Library,100,"45,000.00","45,000.00",0.00,,,,0,0,1,1,1,100,12,FA
Instructor,Library,100,"45,000.00","45,000.00",0.00,,AB,Bachelor of Arts,2,2,1,1,1,100,12,FA
Senior Instructor,Library,100,"48,073.00","48,073.00",0.00,N,MLIS,M of Library & Information Sci,10,10,1,1,1,100,12,FA
Assistant Professor,Management,100,"75,000.00","84,360.00","9,360.00",O,PHD,Doctor of Philosophy,1,1,1,1,1,100,9,F9
Associate Professor,Management,100,"122,704.00","132,064.00","9,360.00",O,PHD,Doctor of Philosophy,2,2,1,1,1,100,9,F9
Associate Professor,Management,100,"122,200.00","125,320.00","3,120.00",T,PHD,Doctor of Philosophy,18,23,1,1,1,100,9,F9
Associate Professor,Management,100,"125,481.00","131,721.00","6,240.00",T,PHD,Doctor of Philosophy,4,8,2,1,1,100,9,F9
Associate Professor,Management,100,"118,474.00","118,474.00",0.00,T,PHD,Doctor of Philosophy,18,18,1,1,1,100,9,F9
Associate Professor,Management,100,"118,920.00","128,280.00","9,360.00",T,DBA,Doctor of Business Admin_,17,20,1,1,1,100,9,F9
Associate Professor,Management,100,"125,976.00","129,096.00","3,120.00",T,PHD,Doctor of Philosophy,14,15,1,1,1,100,9,F9
Associate Professor,Management,100,"131,213.00","146,213.00","15,000.00",T,PHD,Doctor of Philosophy,6,7,1,1,1,100,9,F9
Associate Professor,Management,100,"123,251.00","129,491.00","6,240.00",T,PHD,Doctor of Philosophy,9,10,1,1,1,100,9,F9
Associate Professor,Management,100,"128,240.00","137,600.00","9,360.00",O,PHD,Doctor of Philosophy,6,7,1,1,1,100,9,F9
Instructor,Management,100,"51,701.00","54,821.00","3,120.00",N,PHD,Doctor of Philosophy,2,7,1,1,1,100,9,F9
Instructor,Management,100,"50,889.00","50,889.00",0.00,N,M,"Master's, Unspecified_",2,2,1,1,1,100,9,F9
Instructor,Management,100,"50,000.00","50,000.00",0.00,N,MBA,Master of Business Admin.,1,1,1,1,1,100,9,F9
Instructor,Management,100,"48,073.00","48,073.00",0.00,N,PHD,Doctor of Philosophy,10,10,1,1,1,100,9,F9
Instructor,Management,100,"108,014.00","108,014.00",0.00,N,JD,Juris Doctorate,6,11,1,1,1,100,9,F9
Master Instructor,Management,100,"59,542.00","65,782.00","6,240.00",N,MS,Master of Science,17,18,1,1,1,100,9,F9
Master Instructor,Management,100,"69,171.00","69,171.00",0.00,N,PHD,Doctor of Philosophy,18,40,2,1,1,100,9,F9
Professor,Management,100,"126,573.00","135,933.00","9,360.00",T,DBA,Doctor of Business Admin_,15,21,1,1,1,100,9,F9
Professor,Management,100,"131,738.00","141,738.00","10,000.00",T,PHD,Doctor of Philosophy,33,36,1,1,1,100,9,F9
Professor,Management,100,"153,242.00","153,242.00",0.00,T,PHD,Doctor of Philosophy,29,29,1,1,1,100,9,F9
Professor,Management,100,"139,795.00","142,915.00","3,120.00",T,PHD,Doctor of Philosophy,30,30,1,1,1,100,9,F9
Senior Instructor,Management,100,"48,401.00","51,521.00","3,120.00",N,PHD,Doctor of Philosophy,10,11,2,1,1,100,9,F9
Associate Professor,Marketing & Hospitality,100,"113,299.00","119,539.00","6,240.00",T,DBA,Doctor of Business Admin_,13,13,1,1,1,100,9,F9
Associate Professor,Marketing & Hospitality,100,"130,000.00","130,000.00",0.00,T,PHD,Doctor of Philosophy,17,23,1,1,1,100,9,F9
Associate Professor,Marketing & Hospitality,100,"116,195.00","122,435.00","6,240.00",T,PHD,Doctor of Philosophy,18,19,1,1,1,100,9,F9
Associate Professor,Marketing & Hospitality,100,"131,121.00","168,221.00","37,100.00",T,PHD,Doctor of Philosophy,13,16,1,1,1,100,9,F9
Associate Professor,Marketing & Hospitality,100,"116,419.00","125,779.00","9,360.00",T,PHD,Doctor of Philosophy,10,11,1,1,1,100,9,F9
Instructor,Marketing & Hospitality,100,"54,128.00","54,128.00",0.00,N,MBA,Master of Business Admin.,3,3,1,1,1,100,9,F9
Professor,Marketing & Hospitality,100,"162,338.00","165,458.00","3,120.00",T,PHD,Doctor of Philosophy,11,11,1,1,1,100,9,F9
Assistant Professor,Mathematics,100,"71,752.00","71,752.00",0.00,T,PHD,Doctor of Philosophy,27,28,1,1,1,100,9,F9
Assistant Professor,Mathematics,100,"78,614.00","78,614.00",0.00,O,PHD,Doctor of Philosophy,3,3,1,1,1,100,9,F9
Assistant Professor,Mathematics,100,"67,645.00","67,645.00",0.00,N,PHD,Doctor of Philosophy,15,17,2,1,1,100,9,F9
Assistant Professor,Mathematics,100,"77,000.00","77,000.00",0.00,O,PHD,Doctor of Philosophy,1,1,2,1,1,100,9,F9
Assistant Professor,Mathematics,100,"77,000.00","77,000.00",0.00,O,PHD,Doctor of Philosophy,0,0,1,1,1,100,9,F9
Assistant Professor,Mathematics,100,"78,411.00","78,411.00",0.00,O,PHD,Doctor of Philosophy,2,2,1,1,1,100,9,F9
Assistant Professor,Mathematics,100,"75,000.00","75,000.00",0.00,O,PHD,Doctor of Philosophy,1,1,1,1,1,100,9,F9
Assistant Professor,Mathematics,100,"77,000.00","77,000.00",0.00,O,PHD,Doctor of Philosophy,1,1,1,1,1,100,9,F9
Assistant Professor,Mathematics,100,"73,000.00","73,000.00",0.00,O,PHD,Doctor of Philosophy,1,1,1,1,1,100,9,F9
Assistant Professor,Mathematics,100,"76,000.00","76,000.00",0.00,O,MS,Master of Science,1,1,1,1,1,100,9,F9
Assistant Professor,Mathematics,100,"82,000.00","82,000.00",0.00,,PHD,Doctor of Philosophy,0,2,1,1,1,100,9,F9
Assistant Professor,Mathematics,100,"78,275.00","78,275.00",0.00,O,PHD,Doctor of Philosophy,2,2,1,1,1,100,9,F9
Associate Professor,Mathematics,100,"79,532.00","79,532.00",0.00,T,PHD,Doctor of Philosophy,28,28,1,1,1,100,9,F9
Associate Professor,Mathematics,100,"78,762.00","78,762.00",0.00,T,PHD,Doctor of Philosophy,11,12,1,1,1,100,9,F9
Associate Professor,Mathematics,100,"82,213.00","82,213.00",0.00,T,PHD,Doctor of Philosophy,13,15,1,1,1,100,9,F9
Associate Professor,Mathematics,100,"77,136.00","77,136.00",0.00,O,PHD,Doctor of Philosophy,7,7,1,1,1,100,9,F9
Associate Professor,Mathematics,100,"78,508.00","78,508.00",0.00,T,PHD,Doctor of Philosophy,9,9,1,1,1,100,9,F9
Associate Professor,Mathematics,100,"74,286.00","74,286.00",0.00,T,PHD,Doctor of Philosophy,31,31,1,1,1,100,9,F9
Instructor,Mathematics,100,"50,000.00","50,000.00",0.00,,,,0,0,1,1,1,0,9,F9
Instructor,Mathematics,100,"43,000.00","43,000.00",0.00,N,MS,Master of Science,5,6,1,1,1,100,9,F9
Instructor,Mathematics,100,"47,000.00","47,000.00",0.00,N,PHD,Doctor of Philosophy,0,9,1,1,1,100,9,F9
Instructor,Mathematics,100,"47,000.00","47,000.00",0.00,,,,6,0,1,1,1,0,9,F9
Instructor,Mathematics,100,"47,488.00","47,488.00",0.00,N,PHD,Doctor of Philosophy,3,3,1,1,1,100,9,F9
Master Instructor,Mathematics,100,"49,647.00","49,647.00",0.00,N,MBA,Master of Business Admin.,23,30,1,1,1,100,9,F9
Master Instructor,Mathematics,100,"50,287.00","50,287.00",0.00,N,PHD,Doctor of Philosophy,10,11,1,1,1,100,9,F9
Professor,Mathematics,100,"122,989.00","122,989.00",0.00,T,PHD,Doctor of Philosophy,33,32,1,1,1,100,9,F9
Professor,Mathematics,100,"125,596.00","128,716.00","3,120.00",T,PHD,Doctor of Philosophy,28,28,1,1,1,100,9,F9
Professor,Mathematics,100,"111,258.00","111,258.00",0.00,T,PHD,Doctor of Philosophy,41,39,1,1,1,100,9,F9
Professor,Mathematics,100,"123,295.00","126,415.00","3,120.00",T,PHD,Doctor of Philosophy,26,27,1,1,1,100,9,F9
Professor,Mathematics,100,"85,165.00","85,165.00",0.00,T,PHD,Doctor of Philosophy,12,12,1,1,1,100,9,F9
Professor,Mathematics,100,"109,449.00","109,449.00",0.00,T,PHD,Doctor of Philosophy,29,29,1,1,1,100,9,F9
Professor,Mathematics,100,"120,185.00","123,305.00","3,120.00",T,PHD,Doctor of Philosophy,34,34,1,1,1,100,9,F9
Professor,Mathematics,100,"120,000.00","130,000.00","10,000.00",,PHD,Doctor of Philosophy,0,0,1,1,1,100,9,F9
Senior Instructor,Mathematics,100,"47,146.00","47,146.00",0.00,N,MS,Master of Science,6,14,1,1,1,100,9,F9
Senior Instructor,Mathematics,100,"47,177.00","47,177.00",0.00,N,MS,Master of Science,7,20,1,1,1,100,9,F9
Senior Instructor,Mathematics,100,"48,116.00","48,116.00",0.00,N,PHD,Doctor of Philosophy,6,7,1,1,1,100,9,F9
Senior Instructor,Mathematics,100,"47,805.00","47,805.00",0.00,N,MS,Master of Science,13,19,1,1,1,100,9,F9
Senior Instructor,Mathematics,100,"47,443.00","47,443.00",0.00,N,PHD,Doctor of Philosophy,5,10,1,1,1,100,9,F9
Assistant Professor,Mechanical Engineering,100,"89,000.00","89,000.00",0.00,O,PHD,Doctor of Philosophy,0,0,1,1,1,100,9,F9
Assistant Professor,Mechanical Engineering,50,"46,301.00","95,722.00","49,421.00",O,PHD,Doctor of Philosophy,11,11,1,1,1,100,9,F9
Assistant Professor,Mechanical Engineering,100,"89,000.00","89,000.00",0.00,O,PHD,Doctor of Philosophy,0,0,1,1,1,100,9,F9
Assistant Professor,Mechanical Engineering,100,"89,369.00","89,369.00",0.00,O,PHD,Doctor of Philosophy,4,4,1,1,1,100,9,F9
Assistant Professor,Mechanical Engineering,100,"89,070.00","89,070.00",0.00,O,PHD,Doctor of Philosophy,8,8,1,1,1,100,9,F9
Assistant Professor,Mechanical Engineering,100,"94,804.00","97,924.00","3,120.00",O,PHD,Doctor of Philosophy,5,5,1,1,1,100,9,F9
Associate Professor,Mechanical Engineering,100,"106,900.00","106,900.00",0.00,T,PHD,Doctor of Philosophy,33,34,1,1,1,100,9,F9
Associate Professor,Mechanical Engineering,100,"100,143.00","100,143.00",0.00,O,PHD,Doctor of Philosophy,6,6,1,1,1,100,9,F9
Associate Professor,Mechanical Engineering,100,"89,156.00","89,156.00",0.00,,PHD,Doctor of Philosophy,3,3,1,1,1,100,9,F9
Instructor,Mechanical Engineering,100,"75,000.00","75,000.00",0.00,N,MS,Master of Science,1,1,1,1,1,100,12,FA
Instructor,Mechanical Engineering,100,"84,174.00","84,174.00",0.00,N,MS,Master of Science,4,4,1,1,1,100,12,F2
Instructor,Mechanical Engineering,100,"91,050.00","91,050.00",0.00,N,PHD,Doctor of Philosophy,17,17,1,1,1,100,12,F2
Instructor,Mechanical Engineering,100,"76,936.00","76,936.00",0.00,N,MS,Master of Science,4,4,1,1,1,100,12,F2
Instructor,Mechanical Engineering,100,"95,513.00","95,513.00",0.00,N,PHD,Doctor of Philosophy,3,3,1,1,1,100,12,F2
Instructor,Mechanical Engineering,100,"75,000.00","75,000.00",0.00,,MSE,MS in Engineering,2,4,1,1,1,100,12,F2
Professor,Mechanical Engineering,100,"171,000.00","184,120.00","13,120.00",T,PHD,Doctor of Philosophy,0,0,1,1,1,100,9,F9
Professor,Mechanical Engineering,100,"131,742.00","166,742.00","35,000.00",T,PHD,Doctor of Philosophy,4,21,2,1,1,100,9,F9
Professor,Mechanical Engineering,100,"120,376.00","120,376.00",0.00,T,PHD,Doctor of Philosophy,32,32,1,1,1,100,9,F9
Professor,Mechanical Engineering,100,"128,132.00","134,372.00","6,240.00",T,PHD,Doctor of Philosophy,30,29,1,1,1,100,9,F9
Professor,Mechanical Engineering,100,"130,794.00","130,794.00",0.00,T,PHD,Doctor of Philosophy,22,22,1,1,1,100,9,F9
