TITLE,DEPARTMENT,PERCENTAGE,FOAPAL_SALARY,TOTAL_SALARY,OTHER_SALARY,TENURE,DEGREE,DEGREE_DESC,YEARS_HERE,YEARS_TOTAL,POSITION_FTE,JOB FTE,BUDGET_FTE,JOB_PCT,MONTHS_EMPL,POSN_ECLS
Instructor,Baccalaureate Nursing,100,"56,611.00","56,611.00",0.00,N,MSN,MS in Nursing,4,4,1,1,1,100,9,F9
Instructor,Baccalaureate Nursing,100,"60,556.00","60,556.00",0.00,N,MSN,MS in Nursing,8,9,1,1,1,100,9,F9
Instructor,Baccalaureate Nursing,100,"53,718.00","53,718.00",0.00,N,MSN,MS in Nursing,5,5,1,1,1,100,9,F9
Instructor,Baccalaureate Nursing,100,"61,390.00","61,390.00",0.00,N,MS,Master of Science,2,2,1,1,1,100,12,FA
Instructor,Baccalaureate Nursing,100,"62,000.00","62,000.00",0.00,N,MSN,MS in Nursing,1,2,1,1,1,100,9,F9
Instructor,Baccalaureate Nursing,100,"59,000.00","59,000.00",0.00,,,,0,0,1,1,1,0,9,F9
Instructor,Baccalaureate Nursing,100,"62,000.00","62,000.00",0.00,,,,0,0,1,1,1,0,9,F9
Instructor,Baccalaureate Nursing,100,"58,944.00","58,944.00",0.00,N,MSN,MS in Nursing,2,2,1,1,1,100,9,F9
Instructor,Baccalaureate Nursing,100,"56,274.00","56,274.00",0.00,N,BS,Bachelor of Science,2,3,1,1,1,100,9,F9
Instructor,Baccalaureate Nursing,100,"70,000.00","70,000.00",0.00,O,DNP,Doctor of Nursing Practice,1,2,1,1,1,100,12,FA
Instructor,Baccalaureate Nursing,100,"61,390.00","61,390.00",0.00,N,MSN,MS in Nursing,4,5,1,1,1,100,12,FA
Instructor,Baccalaureate Nursing,100,"60,000.00","60,000.00",0.00,,MSN,MS in Nursing,0,0,1,1,1,100,9,F9
Instructor,Baccalaureate Nursing,100,"41,600.00","41,600.00",0.00,N,MSN,MS in Nursing,3,12,1,1,1,82,9,F9
Instructor,Baccalaureate Nursing,100,"56,274.00","56,274.00",0.00,N,MSN,MS in Nursing,2,3,1,1,1,100,9,F9
Instructor,Baccalaureate Nursing,100,"62,000.00","62,000.00",0.00,,MSN,MS in Nursing,0,0,1,1,1,100,9,F9
Master Instructor,Baccalaureate Nursing,100,"66,515.00","66,515.00",0.00,N,MSN,MS in Nursing,10,11,1,1,1,100,9,F9
Master Instructor,Baccalaureate Nursing,100,"58,992.00","58,992.00",0.00,N,MSN,MS in Nursing,14,12,1,1,1,100,9,F9
Master Instructor,Baccalaureate Nursing,100,"71,281.00","71,281.00",0.00,N,MSN,MS in Nursing,25,27,1,1,1,100,9,F9
Professor,Baccalaureate Nursing,100,"102,280.00","105,400.00","3,120.00",T,EDD,Doctor of Education,52,49,1,1,1,100,9,F9
Associate Professor,Baccalaureate Nursing,100,"90,781.00","108,901.00","18,120.00",O,DNP,Doctor of Nursing Practice,11,12,1,1,1,100,12,FA
Assistant Professor,Biology,100,"82,000.00","82,000.00",0.00,O,PHD,Doctor of Philosophy,0,0,1,1,1,100,9,F9
Assistant Professor,Biology,100,"81,000.00","81,000.00",0.00,O,PHD,Doctor of Philosophy,0,0,1,1,1,100,9,F2
Assistant Professor,Biology,100,"82,000.00","82,000.00",0.00,O,PHD,Doctor of Philosophy,0,0,1,1,1,100,9,F9
Assistant Professor,Biology,100,"82,110.00","82,110.00",0.00,O,PHD,Doctor of Philosophy,2,2,1,1,1,100,9,F9
Assistant Professor,Biology,100,"79,085.00","79,085.00",0.00,O,PHD,Doctor of Philosophy,3,3,1,1,1,100,9,F9
Assistant Professor,Biology,100,"82,176.00","85,296.00","3,120.00",O,PHD,Doctor of Philosophy,2,2,1,1,1,100,9,F9
Assistant Professor,Biology,100,"83,000.00","83,000.00",0.00,O,PHD,Doctor of Philosophy,0,0,1,1,1,100,9,F9
Assistant Professor,Biology,100,"80,000.00","83,120.00","3,120.00",O,PHD,Doctor of Philosophy,2,2,1,1,1,100,9,F9
Assistant Professor,Biology,100,"81,168.00","81,168.00",0.00,O,PHD,Doctor of Philosophy,4,4,1,1,1,100,9,F9
Assistant Professor,Biology,100,"60,000.00","60,000.00",0.00,,,,5,5,1,1,1,100,9,F9
Associate Professor,Biology,100,"76,826.00","76,826.00",0.00,T,PHD,Doctor of Philosophy,31,31,1,1,1,100,9,F9
Associate Professor,Biology,100,"87,834.00","90,954.00","3,120.00",T,PHD,Doctor of Philosophy,9,10,1,1,1,100,9,F9
Associate Professor,Biology,100,"80,206.00","80,206.00",0.00,T,PHD,Doctor of Philosophy,23,23,1,1,1,100,9,F9
Associate Professor,Biology,100,"98,627.00","101,747.00","3,120.00",T,PHD,Doctor of Philosophy,30,29,1,1,1,100,9,F9
Associate Professor,Biology,100,"89,386.00","89,386.00",0.00,O,PHD,Doctor of Philosophy,6,6,1,1,1,100,9,F9
Associate Professor,Biology,100,"80,181.00","80,181.00",0.00,T,PHD,Doctor of Philosophy,9,10,1,1,1,100,9,F9
Instructor,Biology,100,"46,000.00","46,000.00",0.00,N,MS,Master of Science,1,1,1,1,1,100,9,F9
Instructor,Biology,100,"46,000.00","46,000.00",0.00,,MS,Master of Science,0,12,1,1,1,100,9,F9
Instructor,Biology,100,"47,000.00","47,000.00",0.00,,PHD,Doctor of Philosophy,2,3,2,1,1,100,9,F9
Master Instructor,Biology,100,"48,990.00","48,990.00",0.00,N,PHD,Doctor of Philosophy,3,3,1,1,1,100,9,F9
Master Instructor,Biology,100,"48,667.00","48,667.00",0.00,N,MS,Master of Science,4,15,3,1,1,100,9,F9
Master Instructor,Biology,100,"49,977.00","49,977.00",0.00,N,MS,Master of Science,21,35,1,1,1,100,9,F9
Professor,Biology,100,"100,175.00","103,295.00","3,120.00",T,PHD,Doctor of Philosophy,14,14,1,1,1,100,9,F9
Professor,Biology,100,"94,151.00","94,151.00",0.00,T,,,16,17,1,1,1,100,9,F9
Professor,Biology,100,"94,509.00","97,629.00","3,120.00",T,PHD,Doctor of Philosophy,15,14,1,1,1,100,9,F9
Professor,Biology,100,"117,994.00","121,114.00","3,120.00",T,PHD,Doctor of Philosophy,22,23,1,1,1,100,9,F9
Professor,Biology,100,"146,725.00","149,845.00","3,120.00",T,PHD,Doctor of Philosophy,31,30,1,1,1,100,9,F9
Professor,Biology,100,"110,263.00","113,383.00","3,120.00",,,,0,0,1,1,1,100,9,F9
Professor,Biology,100,"115,616.00","118,736.00","3,120.00",,,,0,0,1,1,1,100,9,F9
Professor,Biology,100,"139,972.00","153,092.00","13,120.00",T,PHD,Doctor of Philosophy,27,27,1,1,1,100,9,F9
Professor,Biology,100,"91,349.00","97,589.00","6,240.00",T,PHD,Doctor of Philosophy,17,18,1,1,1,100,9,F9
Professor,Biology,100,"148,636.00","148,636.00",0.00,T,PHD,Doctor of Philosophy,27,27,1,1,1,100,9,F9
